# ro  gplus  gcross  err  errcov  mu
   2.646e-02    -4.829e-03     1.812e-02     1.275e-02     2.245e-02     7.225e+03
   4.374e-02     4.096e-03    -8.089e-03     7.583e-03     1.335e-02     2.043e+04
   7.228e-02     1.111e-03     2.766e-03     4.493e-03     7.913e-03     5.796e+04
   1.195e-01    -5.429e-03     1.225e-04     2.750e-03     4.829e-03     1.547e+05
   1.974e-01     1.877e-03     1.752e-03     1.693e-03     3.214e-03     4.079e+05
   3.263e-01    -4.165e-04    -1.835e-04     1.043e-03     1.878e-03     1.077e+06
   5.392e-01     6.172e-04     8.865e-04     6.459e-04     1.279e-03     2.805e+06
   8.911e-01     1.401e-03     2.182e-04     4.418e-04     9.780e-04     5.996e+06
   1.473e+00     3.187e-03     9.661e-04     3.647e-04     1.590e-03     8.792e+06
   2.434e+00     3.480e-03     2.506e-03     5.642e-04     2.818e-03     3.674e+06
   4.022e+00     3.936e-02     1.221e-02     1.542e-02     2.735e-02     4.937e+03
