# ro  gplus  gcross  err  errcov  mu
   2.646e-02     4.836e-02    -5.175e-02     4.352e-02     7.876e-02     6.188e+02
   4.374e-02     4.440e-02    -3.614e-02     2.880e-02     4.947e-02     1.434e+03
   7.228e-02    -2.280e-02     1.851e-04     1.752e-02     3.145e-02     3.796e+03
   1.195e-01    -3.991e-03    -2.190e-03     1.070e-02     1.932e-02     1.016e+04
   1.974e-01     4.743e-04     3.416e-03     6.329e-03     1.141e-02     2.905e+04
   3.263e-01    -1.688e-03    -1.913e-03     3.821e-03     6.833e-03     7.985e+04
   5.392e-01     3.932e-03     8.880e-05     2.368e-03     4.234e-03     2.079e+05
   8.911e-01     1.024e-02    -7.449e-04     1.455e-03     3.163e-03     5.506e+05
   1.473e+00     1.021e-02    -7.893e-04     9.530e-04     2.948e-03     1.284e+06
   2.434e+00     1.093e-02    -1.247e-03     1.006e-03     3.764e-03     1.156e+06
   4.022e+00     7.797e-03     2.269e-04     3.670e-03     6.715e-03     8.677e+04
